id,name,party,sector,country
lk,Lars Klingbeil,SPD,Politik,Deutschland
uvdl,Ursula von der Leyen,CDU,"Politik
","Deutschland
"
nr,Norbert Röttgen,CDU,"Politik
","Deutschland
"
sw,Sahra Wagenknecht,Die Linke,"Politik
","Deutschland
"
cs,Constanze Stelzenmüller,,Justiz,"Deutschland
"
500,Folge 500,,,
cl,Christian Lindner ,FDP,Politik,Deutschland
ks,Karl Schlögel,,Geschichte,Deutschland
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine
kd,Kristina Dunz,,Journalismus,Deutschland
el,Egils Levits,,Politik,Lettland
ab,Annalena Baerbock,Bündnis 90/​Die Grünen,Politik,Deutschland
ft,Frans Timmermans,,Politik,Deutschland
am,Andrij Melnyk,,Politik,Ukraine
501,Folge 501,,,
agl,Alexander Graf Lambsdorff ,FDP,Politik,Deutschland
er,Egon Ramms,,Bundeswehr,Deutschland
502,Folge 502,,,
rh,Robert Habeck ,Bündnis 90/​Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Deutschland
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
CDU,CDU,,Politik,Deutschland
SPD,SPD,,Politik,Deutschland
Die Linke,Die Linke,,Politik,Deutschland
FDP,FDP,,Politik,Deutschland
Bündnis 90/​Die Grünen,Bündnis 90/​Die Grünen,,Politik,Deutschland
